,l1,l2,l3,l4,l5,l6
812,1107,930,887,1284,1570,1309
813,1106,931,883,1282,1563,1213
814,1102,927,765,1189,1483,1203
815,987,816,757,1168,1467,1203
816,1008,807,755,1168,1470,1200
817,967,806,752,1167,1467,1205
818,960,807,753,1168,1471,1201
819,962,805,754,1167,1467,1204
820,960,1149,755,1166,1472,1201
821,962,2533,752,1163,1467,1195
822,961,2548,757,1165,1463,1201
823,962,2555,752,1158,1469,1199
824,959,2559,754,1158,1465,1200
825,960,2559,754,1161,1466,1200
826,960,2559,752,1168,1466,1308
827,960,807,756,1181,1481,1208
828,958,813,767,1178,1475,1218
829,994,815,767,1186,1477,1211
830,1007,817,784,1198,1485,1309
831,1016,936,901,1290,1571,1311
832,1123,941,880,1280,1565,1309
833,1116,926,756,1239,1567,1214
834,986,810,763,1186,1473,1214
835,992,813,767,1182,1477,1213
836,993,816,774,1185,1478,1309
837,1003,825,905,1197,1570,1309
838,1050,938,885,1285,1571,1310
839,1113,924,874,1271,1562,1310
840,1093,805,755,1173,1473,1214
841,987,810,755,1187,1473,1207
842,991,813,769,1187,1474,1217
843,999,819,775,1193,1474,1215
844,1008,935,758,1182,1475,1217
845,1115,814,762,1180,1479,1221
846,998,818,779,1195,1479,1223
847,1010,935,902,1293,1489,1310
848,1119,937,897,1290,1565,1208
849,1111,934,894,1284,1495,1205
850,1106,925,753,1168,1459,1200
851,1102,1083,754,1168,1471,1200
852,966,1711,752,1169,1463,1200
853,961,1986,752,1166,1460,1201
854,960,2147,763,1163,1468,1104
855,960,2243,640,1054,1379,1104
856,958,2464,646,1051,1381,1104
857,758,2478,637,1051,1371,1100
858,753,2480,649,1042,1378,1101
859,759,2483,641,1043,1374,1083
860,755,2496,641,1042,1376,1078
861,755,2501,624,1023,1360,1199
862,754,679,628,1040,1371,1099
863,730,688,630,1052,1377,1099
864,763,687,640,1053,1376,1092
865,781,688,645,1060,1379,1103
866,802,821,779,1162,1396,1113
867,924,816,644,1069,1382,1105
868,915,708,667,1074,1391,1117
869,817,846,806,1195,1407,1205
870,949,845,768,1165,1472,1231
871,945,815,790,1187,1492,1308
872,911,839,880,1270,1559,1216
873,919,928,761,1185,1481,1211
874,965,815,770,1185,1482,1215
875,1007,826,903,1200,1479,1240
876,1051,934,901,1281,1571,1311
877,1109,929,890,1271,1568,1299
878,1104,927,881,1281,1570,1235
879,1099,924,893,1281,1569,1302
880,1094,930,891,1280,1566,1307
881,1105,926,881,1274,1567,1303
882,1102,921,873,1280,1570,1312
883,1094,808,754,1179,1475,1305
884,986,812,756,1187,1568,1212
885,987,810,754,1181,1477,1201
886,1002,1948,749,1168,1466,1200
887,990,2135,752,1168,1465,1200
888,959,2243,753,1167,1471,1200
889,955,2317,754,1165,1466,1201
890,953,2366,752,1166,1456,1200
891,957,2401,752,1169,1462,1200
892,956,2535,751,1167,1463,1200
893,961,2541,758,1169,1470,1203
894,961,2541,763,1168,1468,1208
895,962,2544,759,1166,1458,1205
896,968,2544,766,1168,1471,1314
897,966,814,760,1186,1471,1217
898,970,815,761,1190,1472,1219
899,997,818,765,1187,1471,1217
900,1011,827,786,1191,1475,1223
901,1023,947,911,1290,1495,1220
902,1130,943,771,1194,1481,1218
903,1127,822,787,1186,1475,1221
904,1014,942,910,1289,1494,1320
905,1126,940,902,1286,1571,1314
906,1119,941,903,1289,1568,1309
907,1115,938,891,1290,1571,1220
908,1104,933,764,1190,1482,1218
909,982,816,774,1189,1478,1222
910,1008,829,912,1200,1487,1244
911,1060,944,908,1287,1573,1315
912,1119,939,905,1282,1570,1313
913,1115,939,898,1283,1563,1249
914,1107,934,905,1293,1572,1317
915,1104,939,898,1284,1570,1315
916,1110,934,893,1287,1571,1314
917,1104,929,884,1283,1567,1314
918,1104,813,758,1190,1479,1203
919,991,815,759,1162,1463,1091
920,1003,816,624,1043,1370,1102
921,1002,685,627,1033,1367,1082
922,762,688,623,1011,1360,1079
923,735,679,623,1011,1359,1099
924,727,682,647,1047,1375,1079
925,722,704,642,1040,1359,1078
926,753,703,2995,1015,1357,1081
927,756,683,3119,1011,1360,1085
928,733,675,3207,1008,1358,1088
929,733,676,3282,1042,1375,1104
930,723,704,3358,1049,1386,1102
931,762,701,3411,1050,1378,1102
932,762,699,675,1052,1378,1319
933,757,704,927,1286,1580,1323
934,761,959,763,1175,1583,1218
935,1087,816,787,1194,1480,1327
936,985,912,913,1296,1584,1328
937,1136,947,902,1298,1584,1216
938,1122,947,762,1183,1476,1237
939,1121,816,919,1298,1584,1328
940,1010,955,763,1297,1571,1219
941,1132,812,783,1200,1481,1311
942,993,839,915,1295,1582,1219
943,1137,943,875,1191,1474,1326
944,1118,953,900,1296,1584,1217
945,1123,943,765,1190,1475,1280
946,1082,816,918,1297,1584,1325
947,1007,951,758,1280,1583,1219
948,1122,812,784,1198,1478,1329
949,991,855,763,1181,1479,1223
950,1132,811,917,1198,1483,1322
951,998,955,899,1301,1581,1213
952,1124,944,765,1185,1482,1325
953,985,819,921,1297,1581,1327
954,1008,953,769,1189,1578,1216
955,1119,814,761,1181,1478,1214
956,989,813,758,1173,1471,1201
957,992,800,752,1166,1467,1111
958,957,809,699,1067,1376,1084
959,951,699,1424,1023,1360,1077
960,771,674,2059,1056,1357,1083
961,726,703,3531,1017,1361,1081
962,756,689,3555,1018,1359,1074
963,740,679,3574,1009,1360,1072
964,720,675,3603,1008,1349,1078
965,719,672,3611,1008,1357,1072
966,719,676,3635,1009,1355,1076
967,720,678,624,1008,1357,1091
968,721,675,646,1045,1376,1216
969,719,720,785,1169,1482,1094
970,933,826,625,1043,1370,1110
971,897,679,816,1201,1392,1219
972,773,866,781,1168,1484,1243
973,945,690,650,1193,1502,1099
974,771,707,643,1056,1377,1213
975,795,697,785,1178,1478,1093
976,882,830,630,1046,1371,1094
977,902,676,784,1105,1381,1242
978,769,834,773,1165,1494,1244
979,917,796,806,1200,1520,1209
980,757,702,773,1185,1474,1316
981,790,827,912,1294,1575,1323
982,1008,944,762,1182,1483,1219
983,1104,814,913,1198,1488,1245
984,990,944,897,1296,1582,1323
985,1123,942,895,1294,1579,1216
986,983,885,770,1188,1479,1323
987,986,821,914,1296,1580,1327
988,1011,946,753,1183,1535,1213
989,1114,813,821,1197,1481,1216
990,990,951,897,1179,1477,1200
991,1126,943,3257,1169,1461,1201
992,1107,803,3337,1168,1467,1202
993,953,806,3392,1165,1469,1205
994,950,805,3440,1166,1464,1199
995,951,801,3481,1164,1463,1199
996,949,802,3739,1161,1468,1199
997,951,803,3743,1163,1466,1200
998,947,801,3744,1168,1462,1200
999,944,803,3759,1159,1470,1197
1000,944,805,3761,1165,1469,1092
1001,945,802,3331,1168,1467,1098
1002,947,803,640,1046,1374,1206
1003,945,693,780,1178,1472,1318
1004,748,842,905,1285,1577,1211
1005,1099,941,755,1174,1478,1222
1006,1097,816,917,1293,1490,1325
1007,993,949,893,1287,1575,1323
1008,1117,813,912,1293,1584,1315
1009,981,944,766,1214,1582,1218
1010,1116,807,778,1199,1485,1318
1011,986,873,910,1289,1579,1213
1012,1130,942,753,1189,1478,1218
1013,1105,812,912,1290,1488,1227
1014,998,947,912,1295,1577,1319
1015,1120,946,759,1296,1575,1219
1016,1113,812,779,1195,1481,1319
1017,980,836,910,1291,1579,1217
1018,1117,941,755,1183,1477,1214
1019,1104,814,909,1295,1476,1226
1020,992,946,912,1296,1529,1323
1021,1120,945,859,1290,1578,1215
1022,1115,811,769,1191,1474,1322
1023,976,827,905,1296,1581,1307
1024,1037,944,754,1178,1472,1318
1025,1106,814,912,1289,1582,1204
1026,994,946,3056,1168,1469,1200
1027,1120,806,3157,1159,1471,1201
1028,946,797,3242,1161,1463,1198
1029,945,797,3312,1162,1471,1199
1030,944,801,3360,1163,1467,1200
1031,944,802,3682,1171,1462,1197
1032,944,802,3687,1159,1458,1200
1033,944,802,3695,1163,1458,1200
1034,944,801,3696,1167,1459,1200
1035,939,800,2754,1158,1462,1211
1036,944,801,781,1163,1459,1319
1037,945,803,907,1296,1577,1318
1038,946,944,755,1184,1477,1217
1039,1109,806,912,1199,1479,1321
1040,986,947,896,1285,1570,1211
1041,1120,934,763,1187,1472,1313
1042,977,816,909,1296,1571,1211
1043,1001,941,770,1185,1473,1319
1044,1105,822,911,1293,1579,1325
1045,1019,940,765,1181,1476,1221
1046,1104,811,914,1200,1488,1315
1047,985,945,881,1292,1569,1213
1048,1116,937,763,1184,1474,1210
1049,982,816,765,1193,1475,1319
1050,1003,821,910,1297,1579,1319
1051,1005,943,754,1182,1502,1218
1052,1110,809,834,1190,1483,1319
1053,981,944,897,1286,1583,1313
1054,1118,932,757,1185,1575,1210
1055,1093,816,766,1175,1479,1200
1056,1006,818,753,1164,1469,1197
1057,1006,801,752,1163,1463,1202
1058,946,800,751,1167,1461,1199
1059,944,805,752,1155,1468,1088
1060,944,809,754,1167,1373,1099
1061,945,802,3263,1033,1371,1087
1062,945,694,3325,1038,1370,1091
1063,747,693,3371,1041,1370,1101
1064,749,691,3414,1036,1376,1094
1065,745,694,3447,1040,1376,1089
1066,749,694,3473,1031,1363,1088
1067,748,690,641,1023,1367,1199
1068,747,688,777,1173,1467,1312
1069,740,842,896,1279,1575,1212
1070,1077,939,751,1177,1475,1214
1071,1090,813,913,1287,1489,1215
1072,987,950,769,1178,1476,1315
1073,1113,816,912,1296,1577,1313
1074,1002,944,762,1201,1577,1216
1075,1109,809,778,1197,1478,1317
1076,983,876,903,1295,1577,1213
1077,1120,935,755,1182,1471,1318
1078,1095,811,901,1287,1579,1215
1079,995,944,765,1175,1472,1324
1080,979,816,912,1289,1578,1313
1081,1007,945,754,1186,1573,1211
1082,1110,809,787,1186,1478,1322
1083,976,944,903,1294,1573,1321
1084,1120,935,897,1285,1575,1218
1085,1103,935,753,1181,1477,1252
1086,1091,818,912,1283,1572,1319
1087,1003,944,757,1289,1589,1216
1088,1109,809,771,1187,1483,1264
1089,978,841,903,1298,1575,1325
1090,1121,939,909,1297,1571,1203
1091,1103,937,753,1177,1471,1109
1092,1104,806,639,1058,1379,1104
1093,950,694,647,1055,1379,1104
1094,758,698,643,1056,1377,1072
1095,754,698,642,1055,1357,1075
1096,752,701,624,1925,1347,1074
1097,752,679,624,1930,1354,1078
1098,721,673,622,1937,1356,1085
1099,720,678,624,1941,1360,1072
1100,723,683,630,1941,1355,1070
1101,730,673,613,1947,1353,1074
1102,721,673,619,1141,1355,1087
1103,720,673,626,1098,1364,1091
1104,720,693,627,1073,1363,1092
1105,815,693,635,1073,1367,1089
1106,848,703,634,1070,1363,1211
1107,923,710,640,1059,1366,1101
1108,926,727,632,1063,1374,1091
1109,920,691,623,1045,1370,1102
1110,786,683,631,1053,1377,1101
1111,779,687,625,1051,1377,1090
1112,785,687,621,1045,1362,1207
1113,793,686,625,1049,1373,1111
1114,789,693,682,1083,1389,1210
1115,810,863,803,1186,1476,1215
1116,951,946,837,1198,1483,1215
1117,1102,946,912,1200,1487,1217
1118,1105,946,912,1205,1487,1317
1119,1113,946,912,1222,1582,1264
1120,1115,944,912,1299,1575,1317
1121,1120,943,909,1299,1579,1325
1122,1114,942,910,1297,1582,1319
1123,1108,944,909,1296,1579,1314
1124,1107,944,905,1295,1573,1215
1125,1110,939,908,1818,1481,1209
1126,1083,941,753,1874,1457,1205
1127,1103,803,756,1908,1474,1201
1128,946,800,752,1937,1469,1217
1129,950,802,742,1947,1447,1194
1130,938,806,752,1971,1471,1198
1131,953,801,753,2039,1471,1202
1132,949,805,751,2046,1461,1200
1133,947,805,744,2045,1466,1200
1134,950,805,757,2044,1472,1197
1135,946,801,755,2060,1469,1200
1136,946,802,743,2066,1468,1201
1137,947,803,752,2067,1466,1109
1138,944,803,645,1065,1389,1302
1139,950,702,756,1180,1494,1316
1140,762,814,763,1187,1473,1313
1141,957,810,763,1187,1476,1271
1142,974,812,765,1194,1477,1216
1143,985,811,766,1191,1481,1216
1144,988,811,758,1184,1481,1218
1145,991,816,763,1188,1479,1216
1146,1008,819,767,1184,1482,1219
1147,1009,816,770,1194,1479,1216
1148,1012,827,771,1185,1478,1321
1149,1020,825,774,1187,1476,1215
1150,1040,830,763,1186,1483,1215
1151,1088,815,761,1192,1486,1134
1152,997,814,657,1095,1401,1214
1153,997,709,767,1185,1481,1221
1154,887,814,781,1184,1473,1317
1155,989,817,762,1293,1579,1314
1156,999,818,757,1190,1498,1321
1157,1007,816,767,1190,1468,1317
1158,987,813,755,1190,1479,1277
1159,988,815,759,1188,1479,1210
1160,990,812,758,1197,1481,1232
1161,991,813,767,2077,1575,1203
1162,993,811,753,2005,1471,1199
1163,993,806,752,2014,1472,1200
1164,946,803,752,2017,1468,1200
1165,945,803,752,2018,1468,1200
1166,945,803,753,2025,1465,1202
1167,941,803,753,2029,1462,1200
1168,950,800,752,1199,1470,1313
1169,959,800,763,1202,1488,1315
1170,945,811,763,1199,1471,1315
1171,982,810,764,1198,1485,1279
1172,987,813,755,1200,1470,1315
1173,986,810,757,1196,1577,1322
1174,989,812,759,1294,1570,1315
1175,986,805,755,1294,1577,1313
1176,987,816,758,1287,1578,1315
1177,985,813,759,1234,1572,1318
1178,983,807,761,1183,1575,1317
1179,983,814,756,1189,1574,1315
1180,980,815,893,1287,1583,1313
1181,981,929,892,1290,1581,1315
1182,978,925,885,1291,1574,1320
1183,979,861,887,1290,1575,1315
1184,979,811,873,1285,1573,1218
1185,983,811,847,1287,1487,1318
1186,983,806,762,1185,1492,1319
1187,986,811,761,1190,1479,1314
1188,988,809,757,1185,1477,1271
1189,985,813,755,1192,1475,1213
1190,987,814,759,1183,1475,1228
1191,987,813,762,1197,1477,1216
1192,989,813,766,1857,1479,1201
1193,994,818,752,1900,1471,1200
1194,1009,803,753,1923,1467,1201
1195,945,802,751,1942,1467,1201
1196,944,802,749,1958,1464,1199
1197,944,804,750,1968,1467,1199
1198,946,802,753,2023,1464,1201
1199,944,801,751,2031,1458,1200
1200,944,801,752,2034,1469,1199
1201,947,801,752,2032,1461,1198
1202,947,801,752,2037,1463,1197
1203,944,799,752,2034,1462,1200
1204,943,801,751,1168,1458,1315
1205,943,799,752,1185,1491,1315
1206,943,812,758,1185,1473,1311
1207,976,814,758,1185,1471,1278
1208,978,812,765,1190,1477,1319
1209,981,811,757,1190,1476,1317
1210,982,812,768,1284,1570,1321
1211,987,813,752,1280,1571,1318
1212,981,815,757,1280,1569,1315
1213,982,813,756,1234,1571,1303
1214,981,811,757,1176,1571,1314
1215,981,812,754,1183,1574,1216
1216,983,806,752,1189,1472,1219
1217,982,811,755,1184,1475,1212
1218,990,813,763,1188,1473,1216
1219,995,815,767,1189,1474,1212
1220,996,814,756,1184,1477,1212
1221,999,816,763,1183,1476,1214
1222,998,816,779,1194,1479,1215
1223,1005,841,784,1190,1475,1216
1224,1114,864,779,1194,1481,1217
1225,1113,944,797,1249,1482,1213
1226,1115,944,814,1535,1477,1218
1227,1115,943,855,1715,1479,1217
1228,1109,943,763,1998,1483,1206
1229,1113,816,751,2000,1463,1203
1230,1008,799,752,2016,1466,1205
1231,945,801,752,2007,1469,1200
1232,944,802,750,2013,1463,1197
1233,944,802,751,2014,1464,1199
1234,942,804,747,2041,1465,1200
1235,946,804,747,2032,1461,1200
1236,945,802,753,1911,1461,1198
1237,942,806,755,1274,1469,1303
1238,942,800,752,1222,1490,1269
1239,942,804,752,1203,1467,1207
1240,971,803,751,1177,1472,1209
1241,976,803,753,1180,1476,1202
1242,985,807,749,1171,1474,1213
1243,987,812,756,1183,1473,1207
1244,992,811,763,1173,1467,1298
1245,992,810,755,1178,1470,1207
1246,999,816,781,1188,1472,1206
1247,1002,940,803,1186,1471,1214
1248,1104,939,831,1192,1473,1209
1249,1102,938,906,1194,1475,1215
1250,1104,938,902,1195,1475,1206
1251,1099,935,902,1211,1471,1205
1252,1103,934,755,1179,1470,1215
1253,1104,819,767,1179,1474,1207
1254,1013,820,770,1197,1479,1205
1255,1052,825,770,1190,1479,1207
1256,1110,836,771,1187,1482,1301
1257,1107,853,782,1183,1616,1202
1258,1104,937,752,1168,1516,1199
1259,1104,801,749,1168,1803,1200
1260,938,796,742,1168,1886,1194
1261,934,797,747,1162,1919,1197
1262,933,799,747,1167,1936,1191
1263,930,795,748,1165,1939,1194
1264,933,797,746,1168,1937,1194
1265,932,799,742,1168,1938,1186
1266,931,796,750,1171,1938,1198
1267,937,795,746,1170,1946,1195
1268,933,797,739,1173,1949,1076
1269,935,798,735,1170,1391,1177
1270,935,796,741,1126,1483,1183
1271,932,785,617,1051,1485,1085
1272,731,669,621,1044,1392,1085
1273,751,684,624,1046,1392,1088
1274,772,688,744,1102,1389,1202
1275,883,795,752,1150,1466,1119
1276,879,794,643,1072,1391,1114
1277,868,704,661,1072,1392,1111
1278,823,832,782,1177,1401,1188
1279,933,827,750,1148,1459,1187
1280,915,795,743,1141,1457,1200
1281,876,766,618,1042,1473,1207
1282,751,666,870,1267,1559,1293
1283,750,914,869,1267,1558,1294
1284,1077,906,859,1265,1555,1293
1285,1070,801,743,1181,1472,1200
1286,962,801,754,1183,1463,1211
1287,973,814,773,1185,1517,1294
1288,987,915,751,1278,1574,1295
1289,1086,799,752,1178,1494,1202
1290,964,803,763,1186,1498,1211
1291,977,814,844,1197,1494,1217
1292,991,912,877,1281,1584,1296
1293,1077,913,869,1284,2025,1190
1294,1075,911,738,1168,1967,1195
1295,1070,791,738,1168,1968,1195
1296,929,793,742,1169,1970,1197
1297,930,793,741,1166,1968,1196
1298,934,795,737,1167,1968,1194
1299,930,794,738,1166,2014,1191
1300,926,794,747,1165,1984,1088
1301,929,797,621,1040,1578,1084
1302,929,682,627,1043,1462,1095
1303,739,682,704,1047,1447,1105
1304,783,798,754,1153,1520,1202
1305,881,798,752,1149,1503,1204
1306,877,793,759,1181,1501,1214
1307,866,815,880,1190,1493,1291
1308,1088,913,878,1267,1573,1296
1309,1081,912,863,1265,1568,1295
1310,1072,907,751,1274,1566,1206
1311,1039,796,747,1179,1477,1295
1312,959,806,873,1269,1562,1285
1313,978,912,861,1267,1558,1294
1314,1070,911,753,1170,1558,1201
1315,962,798,752,1177,1476,1203
1316,969,808,762,1183,1479,1091
1317,983,816,880,1069,1397,1079
1318,1088,913,625,1047,1389,1089
1319,1079,683,658,1049,1396,1092
1320,781,794,752,1141,1481,1183
1321,880,796,736,1146,1485,1183
1322,871,787,733,1142,1479,1296
1323,861,672,614,1270,2000,1194
1324,740,669,746,1168,1947,1193
1325,752,794,737,1168,1945,1185
1326,927,795,734,1164,1961,1195
1327,923,789,738,1167,1943,1187
1328,925,788,739,1168,1953,1186
1329,927,791,750,1164,1968,1187
1330,923,789,734,1165,1972,1190
1331,922,791,732,1156,1971,1187
1332,912,794,730,1162,1969,1190
1333,926,787,739,1154,1973,1185
1334,923,793,742,1157,1971,1072
1335,920,792,733,1182,1378,1077
1336,921,791,627,1045,1390,1088
1337,919,764,749,1141,1399,1177
1338,879,793,749,1143,1476,1181
1339,878,789,741,1136,1467,1180
1340,861,765,619,1034,1466,1075
1341,740,670,619,1035,1360,1177
1342,749,678,611,1137,1446,1146
1343,765,667,614,1035,1365,1082
1344,736,675,624,1043,1360,1088
1345,759,686,746,1041,1365,1104
1346,794,798,747,1138,1453,1183
1347,880,786,740,1127,1455,1084
1348,867,784,739,1142,1376,1183
1349,854,791,737,1139,1456,1179
1350,876,786,733,1133,1452,1174
1351,857,750,608,1022,1457,1075
1352,731,663,622,1033,1360,1098
1353,740,672,624,1041,1364,1127
1354,756,695,610,1039,1366,1081
1355,880,671,625,1046,1474,1092
1356,753,682,751,1053,1712,1105
1357,786,795,749,1147,1835,1174
1358,880,790,732,1145,1865,1075
1359,862,787,611,1143,1872,1063
1360,849,666,614,1008,1841,1063
1361,739,657,608,1007,1843,1066
1362,697,659,608,1008,1841,1071
1363,697,665,603,1008,1855,1072
1364,704,666,608,1013,1858,1091
1365,710,666,615,1008,1855,1089
1366,705,662,635,1040,1901,1089
1367,705,693,626,1040,1890,1099
1368,735,684,642,1066,1520,1101
1369,734,706,734,1077,1456,1114
1370,809,823,772,1182,1520,1291
1371,916,826,775,1171,1522,1202
1372,906,816,875,1266,1504,1287
1373,899,910,862,1264,1582,1287
1374,1071,901,861,1264,1572,1285
1375,1061,899,739,1168,1578,1200
1376,955,790,752,1174,1479,1199
1377,960,800,755,1185,1481,1286
1378,974,817,740,1167,1471,1198
1379,1077,795,753,1177,1470,1200
1380,967,806,866,1179,1476,1211
1381,989,912,864,1266,1555,1286
1382,1073,912,860,1261,1554,1200
1383,1066,901,827,1255,1535,1202
1384,1063,791,875,1197,1490,1289
1385,951,912,873,1269,1571,1287
1386,1072,908,853,1264,1581,1289
1387,1058,902,751,1264,1579,1200
1388,1007,795,745,1171,1491,1203
1389,957,800,753,1178,1499,1186
1390,975,809,736,1158,1483,1198
1391,1002,788,736,1152,1481,1186
1392,916,789,736,1152,1481,1187
1393,917,787,737,1157,1479,1186
1394,915,793,734,1151,1488,1067
1395,913,786,727,1154,1808,1061
1396,915,787,603,1006,1811,1061
1397,913,661,607,1001,1814,1063
1398,693,657,609,1002,1815,1062
1399,695,662,598,1002,1818,1062
1400,698,662,608,1006,1825,1057
1401,694,656,610,1008,1830,1058
1402,695,656,599,1000,1838,1055
1403,697,654,601,989,1840,1057
1404,688,653,603,988,1524,1055
1405,688,652,602,994,1402,1057
1406,688,653,592,993,1373,1054
1407,689,656,594,988,1371,1058
1408,689,654,601,992,1362,1057
1409,688,655,601,990,1362,1054
1410,690,656,597,990,1360,1056
1411,689,655,597,982,1360,1055
1412,690,653,597,985,1353,1049
1413,691,656,599,989,1359,1056
1414,690,656,601,988,1345,1046
1415,689,656,592,985,1338,1053
1416,690,651,593,979,1335,1054
1417,688,654,603,976,1341,1051
1418,687,653,592,972,1339,1056
1419,686,651,603,981,1348,1058
1420,688,654,596,981,1350,1051
1421,688,656,599,990,1360,1051
1422,688,655,592,989,1359,1041
1423,688,651,597,989,1589,1051
1424,685,652,595,998,1731,1056
1425,684,653,593,993,1786,1055
1426,685,653,592,989,1813,1057
1427,688,653,596,991,1851,1065
1428,689,655,608,1007,1857,1062
1429,689,661,609,1005,1857,1057
1430,698,663,592,992,1855,1052
1431,701,647,595,998,1855,1066
1432,688,654,598,1002,1865,1060
1433,688,656,603,1002,1363,1058
1434,693,656,594,991,1359,1061
1435,697,656,592,996,1355,1069
1436,688,656,611,1005,1360,1053
1437,691,665,599,990,1355,1059
1438,703,656,592,995,1354,1055
1439,690,656,615,1003,1360,1055
1440,690,666,607,989,1339,1062
1441,704,659,612,987,1335,1052
1442,695,657,604,981,1339,1057
1443,701,653,611,986,1342,1063
1444,693,656,614,998,1345,1050
1445,698,658,597,982,1337,1057
1446,703,653,602,991,1344,1059
1447,693,657,598,983,1334,1071
1448,695,656,613,1002,1344,1058
1449,691,666,599,983,1338,1069
1450,706,656,610,996,1343,1059
1451,695,658,607,990,1343,1057
1452,705,663,602,979,1332,1066
1453,702,656,608,993,1347,1060
1454,688,658,607,987,1331,1066
1455,702,656,613,997,1341,1069
1456,687,662,603,1002,1346,1057
1457,702,678,607,986,1337,1059
1458,713,656,595,981,1331,1088
1459,691,650,626,1022,1363,1077
1460,694,687,624,1017,1362,1072
1461,723,677,607,995,1345,1083
1462,722,663,620,1005,1355,1067
1463,706,672,610,1002,1347,1066
1464,714,663,609,991,1344,1058
1465,706,656,605,985,1392,1072
1466,697,656,617,999,1393,1063
1467,693,669,603,990,1392,1063
1468,705,656,610,992,1397,1067
1469,693,658,605,997,1393,1070
1470,699,658,613,1002,1402,1847
1471,695,664,602,1015,1433,1872
1472,708,656,625,1021,1437,1891
1473,691,688,626,1012,1443,1904
1474,730,686,628,1022,1444,1919
1475,724,679,626,1023,1434,1927
1476,733,686,629,1018,1440,1976
1477,733,683,614,1008,1411,1991
1478,727,672,623,1005,1420,1867
1479,711,671,615,1006,1409,1229
1480,715,672,613,994,1410,1171
1481,711,663,624,1023,1418,1152
1482,708,693,755,1149,1424,1186
1483,886,802,752,1139,1467,1086
1484,883,795,752,1136,1383,1186
1485,865,793,745,1134,1470,1185
1486,874,787,722,1129,1463,1190
1487,856,659,612,1009,1366,1077
1488,724,662,619,1021,1361,1125
1489,735,678,737,1123,1456,1082
1490,877,790,682,1035,1369,1104
1491,867,795,742,1131,1454,1181
1492,873,790,724,1130,1456,1177
1493,859,786,603,1011,1454,1076
1494,727,661,610,1015,1360,1080
1495,734,669,657,1034,1367,1087
1496,759,793,621,1034,1390,1088
1497,878,694,751,1137,1395,1189
1498,874,790,745,1135,1479,1189
1499,867,786,672,1129,1478,1186
1500,851,659,606,1010,1382,1869
1501,727,663,609,1023,1390,1826
1502,740,682,597,986,1409,1856
1503,874,656,602,989,1407,1878
1504,691,655,595,987,1413,1898
1505,690,656,599,993,1416,1913
1506,690,657,603,1002,1416,1921
1507,692,659,597,991,1419,1984
1508,691,657,602,991,1427,1991
1509,693,656,605,986,1425,1994
1510,689,656,602,982,1419,1991
1511,691,656,592,983,1415,1997
1512,688,656,598,986,1421,1996
1513,690,656,603,981,1413,1091
1514,697,656,603,981,1381,1093
1515,690,656,607,1008,1388,1095
1516,688,675,738,1067,1393,1200
1517,867,786,735,1125,1475,1199
1518,861,783,735,1121,1479,1206
1519,848,656,602,1010,1404,1174
1520,721,666,615,1015,1454,1184
1521,741,673,604,1005,1360,1073
1522,815,657,613,1021,1360,1075
1523,738,673,748,1043,1357,1173
1524,817,790,741,1131,1451,1173
1525,866,784,724,1124,1452,1072
1526,849,657,606,1008,1367,1180
1527,720,661,739,1125,1461,1181
1528,738,659,608,1013,1410,1073
1529,723,662,609,1013,1373,1077
1530,739,667,745,1037,1376,1175
1531,785,788,739,1131,1467,1183
1532,864,784,734,1126,1488,1187
1533,846,704,735,1126,1490,1189
1534,721,784,602,1131,1493,1083
1535,802,658,606,1009,1395,1078
1536,733,661,614,1019,1409,1087
1537,750,787,737,1127,1463,1965
1538,869,783,726,1131,1507,1904
1539,851,782,603,990,1437,1906
1540,842,655,597,983,1422,1920
1541,693,653,604,993,1427,1923
1542,683,656,597,986,1431,1933
1543,689,657,592,988,1433,1935
1544,688,652,595,989,1425,1982
1545,689,656,595,978,1406,1984
1546,688,655,591,983,1409,1991
1547,687,656,598,982,1403,1994
1548,688,656,604,983,1398,1994
1549,689,656,607,986,1401,1467
1550,689,656,598,987,1392,1085
1551,689,655,635,1011,1375,1088
1552,689,790,622,1018,1370,1083
1553,860,680,746,1135,1376,1184
1554,875,789,739,1123,1462,1183
1555,863,784,733,1130,1455,1180
1556,849,656,603,1009,1360,1171
1557,717,656,611,1008,1454,1183
1558,732,671,607,1008,1353,1072
1559,869,658,608,1015,1353,1075
1560,736,673,741,1103,1360,1174
1561,873,785,733,1121,1451,1175
1562,863,784,739,1127,1456,1120
1563,848,656,601,1008,1471,1178
1564,720,659,733,1125,1471,1183
1565,731,656,605,1013,1384,1075
1566,722,658,609,1019,1381,1077
1567,737,666,750,1057,1392,1178
1568,816,786,733,1123,1479,1076
1569,862,784,734,1121,1406,1161
1570,848,656,599,987,1405,1434
1571,721,658,592,987,1401,1584
1572,694,656,592,980,1399,1679
1573,690,651,594,982,1399,1738
1574,688,654,606,984,1404,1776
1575,690,657,594,982,1411,1936
1576,689,656,593,979,1433,1943
1577,690,656,601,985,1438,1946
1578,688,659,605,985,1432,1950
1579,697,656,595,985,1428,1946
1580,690,656,592,987,1433,1955
1581,690,654,597,985,1438,1274
1582,688,656,608,983,1391,1177
1583,687,659,737,1122,1470,1248
1584,696,786,742,1123,1491,1231
1585,851,785,602,1133,1490,1111
1586,847,663,610,1018,1392,1104
1587,737,665,619,1021,1389,1179
1588,752,739,737,1126,1456,1085
1589,867,785,739,1054,1360,1177
